"LPI_final" "CI_low" "CI_high"
"1990" 1 1 1
"1991" 1.04817362790716 0.957998922262072 1.15848142108227
"1992" 0.991750382302847 0.86711944505906 1.13162843168281
"1993" 0.851065935829468 0.710355808796303 1.02927320286113
"1994" 0.744032906791905 0.602545542388767 0.911436540960758
"1995" 0.694348893272906 0.55894972757608 0.8643818468253
"1996" 0.63606865302589 0.48437735168868 0.822421792396634
"1997" 0.684446672787971 0.499694541683008 0.929863674660074
"1998" 0.754931589463642 0.540166894337745 1.0400703208125
"1999" 0.81469966241597 0.574059408990921 1.11903481974754
"2000" 0.762278332913535 0.529762355662857 1.07285546633463
"2001" 0.696500421072237 0.478475058080715 0.969845672050499
"2002" 0.74700881135666 0.503165914677205 1.08864287616346
"2003" 0.812340105176827 0.542591830679653 1.19910827996607
"2004" 0.886015199178153 0.578331250721392 1.32924787067815
"2005" 0.957907551450883 0.630161394229783 1.45678962142444
"2006" 0.862168414171654 0.541441081692082 1.37968425192623
"2007" 0.9507211042702 0.587786098996848 1.54456088216653
"2008" 1.03640869713734 0.6186161184169 1.72511914881217
"2009" 1.03189831083337 0.60649606343648 1.74100275107557
"2010" 1.12487096714472 0.648843262904655 1.92354784185984
"2011" 1.0120905721456 0.586152769376478 1.70149790231015
"2012" 0.933850612017417 0.519092842915996 1.63790066644597
"2013" 1.05938124169574 0.576199955711839 1.88998236210619
"2014" 1.04167988638645 0.554300973740074 1.86824948220824
"2015" 0.959610243640885 0.493624496362428 1.77738749746497
"2016" 0.786405778171244 0.403334208879451 1.5042949778446
"2017" -99 NA NA
"2018" -99 NA NA
"2019" -99 NA NA
