"LPI_final" "CI_low" "CI_high"
"1990" 1 1 1
"1991" 1.07999740397954 1.05372175122945 1.13257499679692
"1992" 1.15212826562628 1.0847586101616 1.22438588781191
"1993" 1.19242385444085 1.06707942221902 1.32212960751371
"1994" 1.22413163376518 1.05445900109972 1.40606804613385
"1995" 1.28025926902291 1.08114459930862 1.49948638506413
"1996" 1.35496005184953 1.13877967784206 1.59315005345945
"1997" 1.41345917670916 1.18434947104255 1.66768154080111
"1998" 1.44633460087723 1.20299989902305 1.73087169799196
"1999" 1.48451645442926 1.22070465061685 1.80206299781351
"2000" 1.55142600829699 1.27458203104493 1.88720876551242
"2001" 1.63119279394558 1.33518150494604 1.97847775669667
"2002" 1.69497663439563 1.39034599868009 2.05453978811794
"2003" 1.74065182108241 1.4234385977449 2.11573987747587
"2004" 1.78393694822983 1.45243686315457 2.16901623502849
"2005" 1.82541144095781 1.48636933747874 2.22561251043482
"2006" 1.85529115472305 1.49674057476502 2.28069799198407
"2007" 1.88222615630696 1.51944858201347 2.3114811565801
"2008" 1.92847440171693 1.55350664915007 2.37952003025552
"2009" 1.99751619572401 1.60587234923113 2.47008256837574
"2010" 2.07016635783197 1.66573180835497 2.56254671999226
"2011" 2.11329252167116 1.7037774288658 2.61576369742433
"2012" 2.16659198911549 1.75191384412054 2.68173601815288
"2013" 2.24448643774579 1.80163748253271 2.7668551230981
"2014" 2.29812219151453 1.8446906205551 2.83297374943532
"2015" 2.35819279306745 1.89290897711809 2.90702483250678
"2016" 2.42359796779246 1.94540936756578 2.98765202620316
"2017" 2.49269417855443 2.00087253326651 3.07282928614037
"2018" 2.56420033202878 2.05827014733297 3.16097736480386
"2019" -99 NA NA
