population_id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
35,1,-0.00735971131520419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,1,-0.0342860054617584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,1,0.0051546933893398,-0.000163474815308103,-0.00471811403381216,-0.00832697568185534,-0.0122353919460581,-0.0164001765748156,-0.0191663464467772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,1,-0.0210430544800901,-0.0210430544803659,-0.0210430544804706,-0.021043054480338,-0.021043054479996,-0.021043054479602,-0.0210430544793564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,1,-0.0234718631763615,-0.0189639567955707,-0.0145532332052031,-0.011001496056431,-0.0087599642030608,-0.00774540319451095,-0.00747372833068066,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,1,-0.0156238219579472,-0.0206343295042719,-0.023597317927724,-0.0236514946131124,-0.0209426013369528,-0.017158405530523,-0.0146310760593139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,1,0.0127625134201615,0.0120427250397913,0.0117576364006136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,1,-0.00411362774623272,-0.00379642904887106,-0.00359023996357985,-0.00347729038234407,-0.00341499235553994,-0.00337439257491159,-0.00335193392492958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,1,-0.012080612258513,-0.0100120098371074,-0.00732927281433694,-0.00442478373121111,-0.00181241224186225,4.25243225544436e-05,0.000923508152095881,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,1,-0.128442592023933,-0.124130746641466,0.158407336380684,0.00684158669950313,0.00684158669950302,0.0320294728762346,0.0628335182755844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,1,0.0301294855614555,0.0327989595024411,0.032723146804537,0.022832000389596,0.00189712072107982,-0.0221307309428754,-0.0373703873501958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,1,0.00444995726758673,0.00405830471985436,0.00363964573627495,0.00321112865340301,0.00272722612864645,0.00211251407283652,0.00133958090246178,0.000458615298748855,-0.000457791419700759,-0.00137377795836685,-0.00226752641064654,-0.00306741619725481,-0.0036602988142323,-0.00398550094764061,-0.0040969909086559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,1,0.0241491388043424,-0.0371427363664802,-0.0781279068337311,-0.0719231258489594,-0.00643041944274847,0.082613133693604,0.128818376100575,0.0967069877104048,0.0172587277444778,-0.0455490437330217,-0.0556347571947327,-0.0244856362047863,0.0186886153406702,0.0570376091956437,0.0853044562261429,0.0985591732812918,0.0959521560444787,0.0882746382081145,-1,-1,-1,-1,-1,-1,-1,-1
90,1,-0.0937951786090723,-0.0933332846330652,-0.0927068251881813,-0.091910525071627,-0.0909248712100532,-0.0897589404435331,-0.0884487622839902,-0.0869963854389302,-0.085309796501555,-0.0832200025668324,-0.0805884813718758,-0.0774316423004118,-0.0739942657043304,-0.0706835646647055,-0.0678719248541628,-0.0656478284338631,-0.06404539167732,-0.0629606940292882,-0.0622195970740154,-0.0617834887089721,-0.0616233907982551,-1,-1,-1,-1,-1
89,1,-0.0886365694509959,-0.0886365694509833,-0.0886365694509602,-0.0886365694509219,-0.0886365694508654,-0.0886365694507895,-0.0886365694506928,-0.0886365694505838,-0.0886365694504829,-0.08863656945042,-0.0886365694504138,-0.0886365694504569,-0.0886365694505206,-0.0886365694505802,-0.0886365694506308,-0.08863656945068,-0.0886365694507265,-0.0886365694507553,-1,-1,-1,-1,-1,-1,-1,-1
99,1,0.0942555262668057,0.0936615053298051,0.0928758901046516,0.0917033301714412,0.0892482469294738,0.0848809286020553,0.0786929176589517,0.071291551129546,0.0633448346120113,0.055317419271161,0.0474934822306849,0.0400386466073481,0.0334861692076731,0.0282596354845182,0.0243737059769895,0.0216496061227875,0.0193663197351435,0.0171544182783063,0.0152812318402948,0.0138318791581935,0.0129066410937124,-1,-1,-1,-1,-1
87,1,-0.129694183061032,-0.131777280960955,-0.134357121033036,-0.137098330715061,-0.138569511634026,-0.138215435716123,-0.136582063112502,-0.133825695393129,-0.128219363978717,-0.116308097979116,-0.0950590092543186,-0.0644237549743623,-0.027542334382828,0.0103814049051905,0.0448620921073632,0.0749186333472931,0.100199218124054,0.12063111353644,0.135864458933682,0.145804454518329,0.150558884297139,-1,-1,-1,-1,-1
102,1,0.0243354736407559,0.0243354736407575,0.0243354736407577,0.0243354736407537,0.0243354736407442,0.0243354736407295,0.024335473640712,0.0243354736406953,0.0243354736406756,0.0243354736406531,0.024335473640628,0.0243354736406058,0.0243354736406021,0.0243354736406263,0.0243354736406785,0.0243354736407511,0.0243354736408221,0.0243354736408739,0.0243354736409067,0.0243354736409217,0.0243354736409226,-1,-1,-1,-1,-1
