Binomial	ID	year	popvalue
Phocoena_phocoena	146	1975	6.55
Rangifer_tarandus	180	1975	22818
Peromyscus_maniculatus	35	1976	73.75
Tamiasciurus_hudsonicus	36	1976	3.33
Myodes_gapperi	40	1976	6
Sorex_cinereus	44	1976	2
Napaeozapus_insignis	45	1976	15
Tamias_striatus	46	1976	13
Blarina_brevicauda	47	1976	1
Halichoerus_grypus	97	1976	9471
Rangifer_tarandus	131	1976	21
Phocoena_phocoena	145	1976	2.05
Phocoena_phocoena	146	1976	3.37
Rangifer_tarandus	180	1976	24350
Peromyscus_maniculatus	35	1977	174.58
Tamiasciurus_hudsonicus	36	1977	7.92
Myodes_gapperi	40	1977	23
Sorex_cinereus	44	1977	0
Napaeozapus_insignis	45	1977	12
Tamias_striatus	46	1977	42
Blarina_brevicauda	47	1977	8
Halichoerus_grypus	97	1977	10906
Rangifer_tarandus	131	1977	21
Phocoena_phocoena	145	1977	1.17
Phocoena_phocoena	146	1977	1.6
Rangifer_tarandus	180	1977	27690
Peromyscus_maniculatus	35	1978	126.25
Tamiasciurus_hudsonicus	36	1978	2.92
Myodes_gapperi	40	1978	3
Sorex_cinereus	44	1978	0
Napaeozapus_insignis	45	1978	12
Tamias_striatus	46	1978	8
Blarina_brevicauda	47	1978	14
Halichoerus_grypus	97	1978	11859
Rangifer_tarandus	131	1978	26
Phocoena_phocoena	145	1978	0.66
Phocoena_phocoena	146	1978	1.93
Alces_americanus	173	1978	184
Rangifer_tarandus	180	1978	29774
Peromyscus_maniculatus	35	1979	226.3
Tamiasciurus_hudsonicus	36	1979	4.99
Myodes_gapperi	40	1979	18
Sorex_cinereus	44	1979	1
Napaeozapus_insignis	45	1979	7
Tamias_striatus	46	1979	94
Blarina_brevicauda	47	1979	32
Blarina_brevicauda	49	1979	11
Halichoerus_grypus	97	1979	13293
Rangifer_tarandus	131	1979	31
Alces_americanus	173	1979	192
Rangifer_tarandus	180	1979	32067
Peromyscus_maniculatus	35	1980	155.56
Tamiasciurus_hudsonicus	36	1980	1.73
Myodes_gapperi	40	1980	11
Sorex_cinereus	44	1980	8
Napaeozapus_insignis	45	1980	4
Tamias_striatus	46	1980	32
Blarina_brevicauda	47	1980	1
Blarina_brevicauda	49	1980	6
Halichoerus_grypus	97	1980	15690
Rangifer_tarandus	131	1980	19
Rangifer_tarandus	180	1980	31641
Alces_americanus	182	1980	86820
Rangifer_tarandus	789	1980	31285
Peromyscus_maniculatus	35	1981	143.33
Tamiasciurus_hudsonicus	36	1981	2.22
Myodes_gapperi	40	1981	34
Sorex_cinereus	44	1981	2
Napaeozapus_insignis	45	1981	4
Tamias_striatus	46	1981	31
Blarina_brevicauda	47	1981	1
Blarina_brevicauda	49	1981	6.7
Halichoerus_grypus	97	1981	17123
Rangifer_tarandus	131	1981	28
Rangifer_tarandus	180	1981	39165
Alces_americanus	182	1981	89502
Rangifer_tarandus	789	1981	39972
Peromyscus_maniculatus	35	1982	96.89
Tamiasciurus_hudsonicus	36	1982	0.89
Myodes_gapperi	40	1982	40
Sorex_cinereus	44	1982	2
Napaeozapus_insignis	45	1982	1
Tamias_striatus	46	1982	19
Blarina_brevicauda	47	1982	2
Blarina_brevicauda	49	1982	9.7
Halichoerus_grypus	97	1982	20483
Rangifer_tarandus	131	1982	16
Rangifer_tarandus	180	1982	43969
Alces_americanus	182	1982	92834
Rangifer_tarandus	789	1982	44277
Peromyscus_maniculatus	35	1983	144.22
Tamiasciurus_hudsonicus	36	1983	2.44
Myodes_gapperi	40	1983	44
Sorex_cinereus	44	1983	2
Napaeozapus_insignis	45	1983	0
Tamias_striatus	46	1983	97
Blarina_brevicauda	47	1983	6
Blarina_brevicauda	49	1983	7
Halichoerus_grypus	97	1983	23842
Canis_lupus	105	1983	1.22
Canis_lupus	106	1983	1.513
Canis_lupus	109	1983	1.003
Canis_lupus	110	1983	0.665
Canis_lupus	113	1983	0.66
Rangifer_tarandus	131	1983	22
Odocoileus_virginianus	151	1983	2.21
Rangifer_tarandus	180	1983	49191
Alces_americanus	182	1983	97347
Rangifer_tarandus	788	1983	273
