population_id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
789,1,0.0153265315431117,0.0149308309157474,0.0156924559405995,0.0149033760369672,0.00954438035639349,-0.000399942057839553,-0.011812707074859,-0.0213111213013084,-0.0272182640923777,-0.0295746261770242,-0.0301870019502974,-0.0324605813165482,-0.0386685523949453,-0.0462678149274955,-0.0488372172471596,-0.042552308255897,-0.0308432957250471,-0.0209226731708378,-0.0162846053173364,-0.0144840604507532,-0.0120093193338109,-0.0089040740758195,-0.00760927635310438,-0.00908043414871607,-0.0117309496138844,-0.0134874031275309,-1,-1
788,1,-0.0190406946300699,-0.0179815742894429,-0.0163803395244595,-0.0140547272534346,-0.0112702328271466,-0.00850140476823702,-0.00583613470379252,-0.00282151631827077,0.00101507673327994,0.00560263978845299,0.0103552458246634,0.0146517723161574,0.0181585741291821,0.020750605037116,0.022349092024696,0.0229889289299714,0.0229776204426178,0.0228046648915794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,1,0.0522259609721578,0.052487927726439,0.052611686514493,0.0524870735118999,0.0520963795385398,0.0513487199085221,0.0499001994559167,0.0473456303575341,0.0436949966362725,0.0395354150518843,0.0356335563997918,0.0324656158936758,0.0301366466872759,0.0285207597457058,0.0273159049742349,0.0261359154430325,0.0248006918992951,0.0235199444737866,0.0226475892268603,0.0222873546892384,-1,-1,-1,-1,-1,-1,-1,-1
4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,1,-0.0459669296837546,-0.0459669296838678,-0.045966929683969,-0.0459669296840608,-0.045966929684137,-0.0459669296841895,-0.0459669296842194,-0.0459669296842356,-0.0459669296842457,-0.0459669296842514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1,0.197533943546318,0.00746413899137277,-0.18649832314024,-0.129094367532316,0.0821926844302254,0.203900126495087,0.194433128638156,0.181617268023562,0.196011381465534,0.145544249267239,0.0247825649887545,-0.0581081209452954,-0.0995229499596881,-0.253405544554813,-0.567434588716039,-0.832311730639775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,-0.0116505712663235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,1,0.0780175940286725,-0.194239819077381,-0.364253525910359,-0.286099670219078,-0.0272321259719241,0.203493486718773,0.24977613329795,0.128853204129166,-0.0205789126145639,-0.0832005106144362,-0.0534438755677058,-0.00190547584073419,0.012024450512151,-0.0148352320288623,-0.0510352518865522,-0.0715400679311857,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,1,0.0416569875939943,0.0323762630905655,-0.00635553594241456,-0.0522345337457089,-0.0816231794965956,-0.0915345184507608,-0.0928485296482973,-0.0933109850195726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,1,0.01178272288728,-0.00904946561130249,0.00121453099619639,0.0290883662095487,0.0226699666239663,-0.0436211049847586,-0.137553924144039,-0.200442321375768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,1,-1,-1,-1,-1,-1,-0.101813038189679,-0.101813038189679,-0.101813038189679,0.373012140042698,0.0798065801828837,0.117851271359673,-0.0658894683977133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
174,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00187856960228738,-0.000275016143092888,0.00880388478614913,0.0292840453781136,0.0569998769535356,0.0809940958048352,0.0910086028689105,0.0845043680234152,0.0676222913855864,0.0504114619375937,0.0406453129581159,-1,-1,-1
175,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0411537382059999,0.0411537382060687,0.0411537382063873,0.0411537382070741,0.0411537382079994,0.0411537382088503,0.0411537382093845,0.0411537382096006,0.0411537382096714,0.0411537382097313,0.0411537382097842,-1,-1,-1
176,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0497249162416731,0.049136600877802,0.0480349643130085,0.0466895076295231,0.0453886923353146,0.0442562575180319,0.0432104916838139,0.0420921352796388,0.0408773340434909,0.0397914564149604,0.0391685496672014,-1,-1,-1
170,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.412180447786648,0.159366641633703,0.470722073294503,-0.0826009583127776,-0.0826009583127775,0.0193306489925622,0.0193306489925622,0.0193306489925623,-1,-1,-1,-1
145,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,1,0.0287704620275493,0.0343757058396751,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,1,0.0220622189233031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
810,1,0.113354337756902,0.0906347338176842,0.0611709011801215,0.027394510085351,-0.00538025774916429,-0.0306518342945329,-0.0441585019768652,-0.0463023072806609,-0.0403379636256226,-0.028560287727858,-0.012067461364398,0.00584655118587404,0.0190686348304545,0.0235510573458463,0.0214692040158384,0.0183671481744876,0.0166672270780936,0.0138011544098019,0.00634648216974626,-0.00609840623313163,-0.0212553940899325,-0.0360745081845876,-0.0473962758495158,-0.0528330289918763,-0.0529097813691541,-0.0513015956167347,-1,-1
15,1,0.0194053623664501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,1,-0.0153717572639067,-0.0439849101958254,-0.0727325240155654,-0.0919276706775642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,1,0.0239143591749018,0.0239143591749018,0.0239143591749023,0.0239143591749018,0.0239143591749018,-0.00931522840827093,-0.00931522840827093,-0.00931522840827137,-0.00931522840827093,-0.00931522840827093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
